Dumping CERT-FR AVI JSON from 2000 to 2026
Output dir: /home/runner/work/certfr-intel-mirror/certfr-intel-mirror/database/raw/certfr_dump_root

===== YEAR 2000 (CERTA, 3 digits) =====
[=] CERTA-2001-AVI-142 (no change) | 0 CVE
[=] CERTA-2001-AVI-143 (no change) | 0 CVE
[=] CERTA-2001-AVI-144 (no change) | 0 CVE
[=] CERTA-2001-AVI-145 (no change) | 0 CVE
[=] CERTA-2001-AVI-146 (no change) | 0 CVE
[=] CERTA-2001-AVI-147 (no change) | 0 CVE
[=] CERTA-2001-AVI-148 (no change) | 0 CVE
[=] CERTA-2001-AVI-149 (no change) | 0 CVE
[=] CERTA-2001-AVI-150 (no change) | 0 CVE
[=] CERTA-2001-AVI-151 (no change) | 0 CVE
[=] CERTA-2001-AVI-152 (no change) | 0 CVE
[=] CERTA-2001-AVI-153 (no change) | 0 CVE
[=] CERTA-2001-AVI-154 (no change) | 0 CVE
[=] CERTA-2001-AVI-155 (no change) | 0 CVE
[=] CERTA-2001-AVI-156 (no change) | 0 CVE
[=] CERTA-2001-AVI-157 (no change) | 0 CVE
[=] CERTA-2001-AVI-158 (no change) | 0 CVE
[=] CERTA-2001-AVI-159 (no change) | 0 CVE
[=] CERTA-2001-AVI-160 (no change) | 0 CVE
[=] CERTA-2001-AVI-161 (no change) | 0 CVE
[=] CERTA-2001-AVI-162 (no change) | 0 CVE
[=] CERTA-2001-AVI-163 (no change) | 0 CVE
[=] CERTA-2001-AVI-164 (no change) | 0 CVE
[=] CERTA-2001-AVI-165 (no change) | 0 CVE
[=] CERTA-2001-AVI-166 (no change) | 0 CVE
[=] CERTA-2001-AVI-167 (no change) | 0 CVE
Done 2001: new=0, updated=0, skipped=166, errors=0

===== YEAR 2002 (CERTA, 3 digits) =====
[=] CERTA-2002-AVI-001 (no change) | 0 CVE
[=] CERTA-2002-AVI-002 (no change) | 0 CVE
[=] CERTA-2002-AVI-003 (no change) | 0 CVE
[=] CERTA-2002-AVI-004 (no change) | 0 CVE
[=] CERTA-2002-AVI-005 (no change) | 0 CVE
[=] CERTA-2002-AVI-006 (no change) | 0 CVE
[=] CERTA-2002-AVI-007 (no change) | 0 CVE
[=] CERTA-2002-AVI-008 (no change) | 0 CVE
[=] CERTA-2002-AVI-009 (no change) | 0 CVE
[=] CERTA-2002-AVI-010 (no change) | 0 CVE
[=] CERTA-2002-AVI-011 (no change) | 0 CVE
[=] CERTA-2002-AVI-012 (no change) | 0 CVE
[=] CERTA-2002-AVI-013 (no change) | 0 CVE
[=] CERTA-2002-AVI-014 (no change) | 0 CVE
[=] CERTA-2002-AVI-015 (no change) | 0 CVE
[=] CERTA-2002-AVI-016 (no change) | 0 CVE
[=] CERTA-2002-AVI-017 (no change) | 0 CVE
[=] CERTA-2002-AVI-018 (no change) | 0 CVE
[=] CERTA-2002-AVI-019 (no change) | 0 CVE
[=] CERTA-2002-AVI-020 (no change) | 0 CVE
[=] CERTA-2002-AVI-021 (no change) | 0 CVE
