Dumping CERT-FR AVI JSON from 2000 to 2026
Output dir: /home/runner/work/certfr-intel-mirror/certfr-intel-mirror/certfr_dump

===== YEAR 2000 (CERTA, 3 digits) =====
[+] CERTA-2001-AVI-067 | 0 CVE
[+] CERTA-2001-AVI-068 | 0 CVE
[+] CERTA-2001-AVI-069 | 0 CVE
[+] CERTA-2001-AVI-070 | 0 CVE
[+] CERTA-2001-AVI-071 | 0 CVE
[+] CERTA-2001-AVI-072 | 0 CVE
[+] CERTA-2001-AVI-073 | 0 CVE
[+] CERTA-2001-AVI-074 | 0 CVE
[+] CERTA-2001-AVI-075 | 0 CVE
[+] CERTA-2001-AVI-076 | 0 CVE
[+] CERTA-2001-AVI-077 | 0 CVE
[+] CERTA-2001-AVI-078 | 0 CVE
[+] CERTA-2001-AVI-079 | 0 CVE
[+] CERTA-2001-AVI-080 | 0 CVE
[+] CERTA-2001-AVI-081 | 0 CVE
[+] CERTA-2001-AVI-082 | 0 CVE
[+] CERTA-2001-AVI-083 | 0 CVE
[+] CERTA-2001-AVI-084 | 0 CVE
[+] CERTA-2001-AVI-085 | 0 CVE
[+] CERTA-2001-AVI-086 | 0 CVE
[+] CERTA-2001-AVI-087 | 0 CVE
[+] CERTA-2001-AVI-088 | 0 CVE
[+] CERTA-2001-AVI-089 | 0 CVE
[+] CERTA-2001-AVI-090 | 0 CVE
[+] CERTA-2001-AVI-091 | 0 CVE
[+] CERTA-2001-AVI-092 | 0 CVE
[+] CERTA-2001-AVI-093 | 0 CVE
[+] CERTA-2001-AVI-094 | 0 CVE
[+] CERTA-2001-AVI-095 | 0 CVE
[+] CERTA-2001-AVI-096 | 0 CVE
[+] CERTA-2001-AVI-097 | 0 CVE
[+] CERTA-2001-AVI-098 | 0 CVE
[+] CERTA-2001-AVI-099 | 0 CVE
[+] CERTA-2001-AVI-100 | 0 CVE
[+] CERTA-2001-AVI-101 | 0 CVE
[+] CERTA-2001-AVI-102 | 0 CVE
[+] CERTA-2001-AVI-103 | 0 CVE
[+] CERTA-2001-AVI-104 | 0 CVE
[+] CERTA-2001-AVI-105 | 0 CVE
[+] CERTA-2001-AVI-106 | 0 CVE
[+] CERTA-2001-AVI-107 | 0 CVE
[+] CERTA-2001-AVI-108 | 0 CVE
[+] CERTA-2001-AVI-109 | 0 CVE
[+] CERTA-2001-AVI-110 | 0 CVE
[+] CERTA-2001-AVI-111 | 0 CVE
[+] CERTA-2001-AVI-112 | 0 CVE
[+] CERTA-2001-AVI-113 | 0 CVE
[+] CERTA-2001-AVI-114 | 0 CVE
[+] CERTA-2001-AVI-115 | 0 CVE
[+] CERTA-2001-AVI-116 | 0 CVE
[+] CERTA-2001-AVI-117 | 0 CVE
[+] CERTA-2001-AVI-118 | 0 CVE
[+] CERTA-2001-AVI-119 | 0 CVE
[+] CERTA-2001-AVI-120 | 0 CVE
[+] CERTA-2001-AVI-121 | 0 CVE
[+] CERTA-2001-AVI-122 | 0 CVE
[+] CERTA-2001-AVI-123 | 0 CVE
[+] CERTA-2001-AVI-124 | 0 CVE
[+] CERTA-2001-AVI-125 | 0 CVE
[+] CERTA-2001-AVI-126 | 0 CVE
[+] CERTA-2001-AVI-127 | 0 CVE
[+] CERTA-2001-AVI-128 | 0 CVE
[+] CERTA-2001-AVI-129 | 0 CVE
[+] CERTA-2001-AVI-130 | 0 CVE
[+] CERTA-2001-AVI-131 | 0 CVE
[+] CERTA-2001-AVI-132 | 0 CVE
[+] CERTA-2001-AVI-133 | 0 CVE
[+] CERTA-2001-AVI-134 | 0 CVE
[+] CERTA-2001-AVI-135 | 0 CVE
[+] CERTA-2001-AVI-136 | 0 CVE
[+] CERTA-2001-AVI-137 | 0 CVE
[+] CERTA-2001-AVI-138 | 0 CVE
[+] CERTA-2001-AVI-139 | 0 CVE
[+] CERTA-2001-AVI-140 | 0 CVE
[+] CERTA-2001-AVI-141 | 0 CVE
[+] CERTA-2001-AVI-142 | 0 CVE
[+] CERTA-2001-AVI-143 | 0 CVE
[+] CERTA-2001-AVI-144 | 0 CVE
[+] CERTA-2001-AVI-145 | 0 CVE
[+] CERTA-2001-AVI-146 | 0 CVE
[+] CERTA-2001-AVI-147 | 0 CVE
[+] CERTA-2001-AVI-148 | 0 CVE
[+] CERTA-2001-AVI-149 | 0 CVE
[+] CERTA-2001-AVI-150 | 0 CVE
[+] CERTA-2001-AVI-151 | 0 CVE
[+] CERTA-2001-AVI-152 | 0 CVE
[+] CERTA-2001-AVI-153 | 0 CVE
[+] CERTA-2001-AVI-154 | 0 CVE
[+] CERTA-2001-AVI-155 | 0 CVE
[+] CERTA-2001-AVI-156 | 0 CVE
[+] CERTA-2001-AVI-157 | 0 CVE
[+] CERTA-2001-AVI-158 | 0 CVE
[+] CERTA-2001-AVI-159 | 0 CVE
[+] CERTA-2001-AVI-160 | 0 CVE
[+] CERTA-2001-AVI-161 | 0 CVE
[+] CERTA-2001-AVI-162 | 0 CVE
[+] CERTA-2001-AVI-163 | 0 CVE
[+] CERTA-2001-AVI-164 | 0 CVE
[+] CERTA-2001-AVI-165 | 0 CVE
[+] CERTA-2001-AVI-166 | 0 CVE
[+] CERTA-2001-AVI-167 | 0 CVE
Done 2001: new=166, updated=0, skipped=0, errors=0

===== YEAR 2002 (CERTA, 3 digits) =====
[+] CERTA-2002-AVI-001 | 0 CVE
[+] CERTA-2002-AVI-002 | 0 CVE
[+] CERTA-2002-AVI-003 | 0 CVE
[+] CERTA-2002-AVI-004 | 0 CVE
[+] CERTA-2002-AVI-005 | 0 CVE
[+] CERTA-2002-AVI-006 | 0 CVE
[+] CERTA-2002-AVI-007 | 0 CVE
[+] CERTA-2002-AVI-008 | 0 CVE
[+] CERTA-2002-AVI-009 | 0 CVE
[+] CERTA-2002-AVI-010 | 0 CVE
[+] CERTA-2002-AVI-011 | 0 CVE
[+] CERTA-2002-AVI-012 | 0 CVE
[+] CERTA-2002-AVI-013 | 0 CVE
[+] CERTA-2002-AVI-014 | 0 CVE
[+] CERTA-2002-AVI-015 | 0 CVE
[+] CERTA-2002-AVI-016 | 0 CVE
[+] CERTA-2002-AVI-017 | 0 CVE
[+] CERTA-2002-AVI-018 | 0 CVE
[+] CERTA-2002-AVI-019 | 0 CVE
[+] CERTA-2002-AVI-020 | 0 CVE
[+] CERTA-2002-AVI-021 | 0 CVE
[+] CERTA-2002-AVI-022 | 0 CVE
[+] CERTA-2002-AVI-023 | 0 CVE
[+] CERTA-2002-AVI-024 | 0 CVE
[+] CERTA-2002-AVI-025 | 0 CVE
[+] CERTA-2002-AVI-026 | 0 CVE
[+] CERTA-2002-AVI-027 | 0 CVE
[+] CERTA-2002-AVI-028 | 0 CVE
[+] CERTA-2002-AVI-029 | 0 CVE
